experiment_id,phase,result_file,dataset_id,dataset_sha256,dataset_bytes,seed,git_commit,utc_timestamp,config,codec_kind,n_relations,n_independent,recovered_bits,container_bytes,payload_bits,relation_description_bits,header_bits,framing_bits,crc_bits,leftover_bits,metadata_bits_total,accounting_total_bits,accounting_ok,raw_best_bytes,composed_best_bytes,composition_gap_bytes,composition_gap_pct,composition_gap_matched_bytes,codec_sets_match,available_raw_codecs,available_composed_codecs,raw_gap_bytes,roundtrip_ok,composed_roundtrip_mode,composed_roundtrip_ok,composed_roundtrip_n_checked,verdict,package_versions,platform,baseline_gzip9,baseline_zlib9,baseline_bz2_9,baseline_xz9,baseline_zstd19,baseline_brotli11,composed_gzip9,composed_zlib9,composed_bz2_9,composed_xz9,composed_zstd19,composed_brotli11
control_sweep_phi0.0001,controls,results/controls/control_sweep_phi0.0001.json,corrupt_gf2_n4096_k32_p32_phi0.0001_s433,cfaedf20ea0897788941b2572a81db4694d756a65094e05cd9a740f4e24357c4,32768,433,e7af4dfbb9549afb64aac80c10821e8143067d6f-dirty,2026-08-29T15:23:46.094019+00:00,"{""control"": ""degradation"", ""flip_fraction"": 0.0001, ""n_cols"": 64, ""n_flipped"": 13}",GF2,53,75,108544,19748,153600,4103,216,1,32,32,4384,157984,True,32772,19534,13238,0.40394238984498965,13238,True,"brotli11,bz2_9,gzip9,xz9,zlib9,zstd19","brotli11,bz2_9,gzip9,xz9,zlib9,zstd19",13024,True,full,True,6,raw_gap+13024 comp_gap+13238,"{""brotli"": ""1.2.0"", ""bz2"": ""stdlib"", ""gzip"": ""stdlib"", ""lzma"": ""stdlib"", ""numpy"": ""2.2.6"", ""python"": ""3.13.6"", ""zlib"": ""stdlib"", ""zstandard"": ""0.25.0""}",Windows-11-10.0.22631-SP0,32796,32784,33263,32828,32778,32772,19644,19632,20063,19808,19534,19542
control_sweep_phi0.001,controls,results/controls/control_sweep_phi0.001.json,corrupt_gf2_n4096_k32_p32_phi0.001_s433,24af15505213725b1c43d47a4313e28115866daff2eaa3cb65e5e1915ec450da,32768,433,e7af4dfbb9549afb64aac80c10821e8143067d6f-dirty,2026-08-29T15:23:46.706996+00:00,"{""control"": ""degradation"", ""flip_fraction"": 0.001, ""n_cols"": 64, ""n_flipped"": 131}",GF2,6,122,12288,31375,249856,860,216,4,32,32,1144,251000,True,32772,31370,1402,0.04278042231172952,1402,True,"brotli11,bz2_9,gzip9,xz9,zlib9,zstd19","brotli11,bz2_9,gzip9,xz9,zlib9,zstd19",1397,True,full,True,6,raw_gap+1397 comp_gap+1402,"{""brotli"": ""1.2.0"", ""bz2"": ""stdlib"", ""gzip"": ""stdlib"", ""lzma"": ""stdlib"", ""numpy"": ""2.2.6"", ""python"": ""3.13.6"", ""zlib"": ""stdlib"", ""zstandard"": ""0.25.0""}",Windows-11-10.0.22631-SP0,32796,32784,33266,32828,32778,32772,31382,31370,31828,31436,31385,31379
control_sweep_phi0.01,controls,results/controls/control_sweep_phi0.01.json,corrupt_gf2_n4096_k32_p32_phi0.01_s433,f26e953f4393bcc0c992fce4f64df73edb90976e0b6ba27c3522295d350fd92c,32768,433,e7af4dfbb9549afb64aac80c10821e8143067d6f-dirty,2026-08-29T15:23:47.628262+00:00,"{""control"": ""degradation"", ""flip_fraction"": 0.01, ""n_cols"": 64, ""n_flipped"": 1311}",PASSTHROUGH,0,262144,0,32786,262144,0,112,0,32,0,144,262288,True,32772,32790,-18,-0.0005492493592090809,-18,True,"brotli11,bz2_9,gzip9,xz9,zlib9,zstd19","brotli11,bz2_9,gzip9,xz9,zlib9,zstd19",-14,True,full,True,6,raw_gap-14 no_deduction header_perturbation-18,"{""brotli"": ""1.2.0"", ""bz2"": ""stdlib"", ""gzip"": ""stdlib"", ""lzma"": ""stdlib"", ""numpy"": ""2.2.6"", ""python"": ""3.13.6"", ""zlib"": ""stdlib"", ""zstandard"": ""0.25.0""}",Windows-11-10.0.22631-SP0,32796,32784,33252,32828,32778,32772,32814,32802,33282,32848,32796,32790
control_sweep_phi0.05,controls,results/controls/control_sweep_phi0.05.json,corrupt_gf2_n4096_k32_p32_phi0.05_s433,157bc34c5e624b525feeab8a6ad95b6dd08c199f28bf7c3786b3f8e54715ac88,32768,433,e7af4dfbb9549afb64aac80c10821e8143067d6f-dirty,2026-08-29T15:23:48.343820+00:00,"{""control"": ""degradation"", ""flip_fraction"": 0.05, ""n_cols"": 64, ""n_flipped"": 6554}",PASSTHROUGH,0,262144,0,32786,262144,0,112,0,32,0,144,262288,True,32772,32790,-18,-0.0005492493592090809,-18,True,"brotli11,bz2_9,gzip9,xz9,zlib9,zstd19","brotli11,bz2_9,gzip9,xz9,zlib9,zstd19",-14,True,full,True,6,raw_gap-14 no_deduction header_perturbation-18,"{""brotli"": ""1.2.0"", ""bz2"": ""stdlib"", ""gzip"": ""stdlib"", ""lzma"": ""stdlib"", ""numpy"": ""2.2.6"", ""python"": ""3.13.6"", ""zlib"": ""stdlib"", ""zstandard"": ""0.25.0""}",Windows-11-10.0.22631-SP0,32796,32784,33271,32828,32778,32772,32816,32804,33276,32848,32796,32790
nat_silesia_dickens,natural,results/natural/nat_silesia_dickens.json,silesia_dickens,b24c37886142e11d0ee687db6ab06f936207aa7f2ea1fd1d9a36763c7a507e6a,10192446,,e89073977350ef611f91acdeaf303c5dcad9a61c-dirty,2026-08-29T15:06:14.558301+00:00,"{""acquisition"": ""whole_file"", ""category"": ""silesia"", ""codec"": ""gf2_best"", ""widths"": [8, 16, 32, 64, 128, 256]}",GF2,25,231,7962825,9197882,73576503,6031,216,2,32,272,6553,73583056,True,2799520,5444536,-2645016,-0.9448105389495342,-2645016,True,"brotli11,bz2_9,gzip9,xz9,zlib9,zstd19","brotli11,bz2_9,gzip9,xz9,zlib9,zstd19",-6398362,True,fast_subset,True,3,raw_gap-6398362 comp_gap-2645016,"{""brotli"": ""1.2.0"", ""bz2"": ""stdlib"", ""gzip"": ""stdlib"", ""lzma"": ""stdlib"", ""numpy"": ""2.2.6"", ""python"": ""3.13.6"", ""zlib"": ""stdlib"", ""zstandard"": ""0.25.0""}",Windows-11-10.0.22631-SP0,3854747,3854735,2799520,2830604,2849941,2853158,7684888,7684876,5499099,5444536,5503061,5507377
nat_silesia_mr,natural,results/natural/nat_silesia_mr.json,silesia_mr,68637ed52e3e4860174ed2dc0840ac77d5f1a60abbcb13770d5754e3774d53e6,9970564,,a6254ebd23d7ae38c0de598d6d9498c427f59317-dirty,2026-08-29T16:20:21.649075+00:00,"{""acquisition"": ""whole_file"", ""category"": ""silesia"", ""codec"": ""gf2_best"", ""widths"": [8, 16, 32, 64, 128, 256]}",PASSTHROUGH,0,79764512,0,9970582,79764512,0,112,0,32,0,144,79764656,True,2441280,2440423,857,0.00035104535325730765,857,True,"brotli11,bz2_9,gzip9,xz9,zlib9,zstd19","brotli11,bz2_9,gzip9,xz9,zlib9,zstd19",-7529302,True,fast_subset,True,3,raw_gap-7529302 no_deduction header_perturbation+857,"{""brotli"": ""1.2.0"", ""bz2"": ""stdlib"", ""gzip"": ""stdlib"", ""lzma"": ""stdlib"", ""numpy"": ""2.2.6"", ""python"": ""3.13.6"", ""zlib"": ""stdlib"", ""zstandard"": ""0.25.0""}",Windows-11-10.0.22631-SP0,3660806,3660794,2441280,2750272,3107144,2825713,3660817,3660805,2440423,2750508,3100093,2825839
nat_silesia_ooffice,natural,results/natural/nat_silesia_ooffice.json,silesia_ooffice,e7ee013880d34dd5208283d0d3d91b07f442e067454276095ded14f322a656eb,6152192,,bbb7414e4e710a5758cf969a01ad13083847268f-dirty,2026-08-29T16:06:29.913494+00:00,"{""acquisition"": ""whole_file"", ""category"": ""silesia"", ""codec"": ""gf2_best"", ""widths"": [8, 16, 32, 64, 128, 256]}",PASSTHROUGH,0,49217536,0,6152210,49217536,0,112,0,32,0,144,49217680,True,2426816,2427004,-188,-7.746776022574434e-05,-188,True,"brotli11,bz2_9,gzip9,xz9,zlib9,zstd19","brotli11,bz2_9,gzip9,xz9,zlib9,zstd19",-3725394,True,fast_subset,True,3,raw_gap-3725394 no_deduction header_perturbation-188,"{""brotli"": ""1.2.0"", ""bz2"": ""stdlib"", ""gzip"": ""stdlib"", ""lzma"": ""stdlib"", ""numpy"": ""2.2.6"", ""python"": ""3.13.6"", ""zlib"": ""stdlib"", ""zstandard"": ""0.25.0""}",Windows-11-10.0.22631-SP0,3092938,3092926,2862526,2426816,2595003,2479758,3092949,3092937,2862972,2427004,2595155,2479848
nat_silesia_osdb,natural,results/natural/nat_silesia_osdb.json,silesia_osdb,60f027179302ca3ad87c58ac90b6be72ec23588aaa7a3b7fe8ecc0f11def3fa3,10085684,,0cc59f8fa6154f625fe9e3ae601ffdd00c377396-dirty,2026-08-29T16:24:24.007306+00:00,"{""acquisition"": ""whole_file"", ""category"": ""silesia"", ""codec"": ""gf2_best"", ""widths"": [8, 16, 32, 64, 128, 256]}",PASSTHROUGH,0,80685472,0,10085702,80685472,0,112,0,32,0,144,80685616,True,2802792,2802817,-25,-8.919677236127404e-06,-25,True,"brotli11,bz2_9,gzip9,xz9,zlib9,zstd19","brotli11,bz2_9,gzip9,xz9,zlib9,zstd19",-7282910,True,fast_subset,True,3,raw_gap-7282910 no_deduction header_perturbation-25,"{""brotli"": ""1.2.0"", ""bz2"": ""stdlib"", ""gzip"": ""stdlib"", ""lzma"": ""stdlib"", ""numpy"": ""2.2.6"", ""python"": ""3.13.6"", ""zlib"": ""stdlib"", ""zstandard"": ""0.25.0""}",Windows-11-10.0.22631-SP0,3673189,3673177,2802792,2849908,3100173,2825123,3673194,3673182,2802817,2849876,3095637,2825212
nat_silesia_reymont,natural,results/natural/nat_silesia_reymont.json,silesia_reymont,0eac0114a3dfe6e2ee1f345a0f79d653cb26c3bc9f0ed79238af4933422b7578,6627202,,bbb7414e4e710a5758cf969a01ad13083847268f-dirty,2026-08-29T16:09:13.945947+00:00,"{""acquisition"": ""whole_file"", ""category"": ""silesia"", ""codec"": ""gf2_best"", ""widths"": [8, 16, 32, 64, 128, 256]}",PASSTHROUGH,0,53017616,0,6627220,53017616,0,112,0,32,0,144,53017760,True,1246230,1246013,217,0.00017412516148704492,217,True,"brotli11,bz2_9,gzip9,xz9,zlib9,zstd19","brotli11,bz2_9,gzip9,xz9,zlib9,zstd19",-5380990,True,fast_subset,True,3,raw_gap-5380990 no_deduction header_perturbation+217,"{""brotli"": ""1.2.0"", ""bz2"": ""stdlib"", ""gzip"": ""stdlib"", ""lzma"": ""stdlib"", ""numpy"": ""2.2.6"", ""python"": ""3.13.6"", ""zlib"": ""stdlib"", ""zstandard"": ""0.25.0""}",Windows-11-10.0.22631-SP0,1823208,1823196,1246230,1317152,1348458,1335805,1823238,1823226,1246013,1317456,1348358,1335918
nat_silesia_sao,natural,results/natural/nat_silesia_sao.json,silesia_sao,c2d0ea2cc59d4c21b7fe43a71499342a00cbe530a1d5548770e91ecd6214adcc,7251944,,bbb7414e4e710a5758cf969a01ad13083847268f-dirty,2026-08-29T16:12:31.516902+00:00,"{""acquisition"": ""whole_file"", ""category"": ""silesia"", ""codec"": ""gf2_best"", ""widths"": [8, 16, 32, 64, 128, 256]}",PASSTHROUGH,0,58015552,0,7251962,58015552,0,112,0,32,0,144,58015696,True,4415072,4421480,-6408,-0.0014513919591798276,-6408,True,"brotli11,bz2_9,gzip9,xz9,zlib9,zstd19","brotli11,bz2_9,gzip9,xz9,zlib9,zstd19",-2836890,True,fast_subset,True,3,raw_gap-2836890 no_deduction header_perturbation-6408,"{""brotli"": ""1.2.0"", ""bz2"": ""stdlib"", ""gzip"": ""stdlib"", ""lzma"": ""stdlib"", ""numpy"": ""2.2.6"", ""python"": ""3.13.6"", ""zlib"": ""stdlib"", ""zstandard"": ""0.25.0""}",Windows-11-10.0.22631-SP0,5325932,5325920,4940524,4415072,5000572,4589967,5325943,5325931,4941797,4421480,5000232,4590002
