experiment_id,phase,dataset_id,dataset_sha256,dataset_bytes,codec_kind,n_relations,n_independent,recovered_bits,total_encoded_bytes,payload_bits,relation_description_bits,header_bits,framing_bits,crc_bits,roundtrip_ok,encode_seconds,decode_seconds,discovery_seconds,best_baseline_bytes,deduction_gap_bytes,composition_gap_bytes,verdict,git_commit,utc_timestamp,seed,baseline_gzip9_bytes,baseline_gzip9_seconds,baseline_zlib9_bytes,baseline_zlib9_seconds,baseline_bz2_9_bytes,baseline_bz2_9_seconds,baseline_xz9_bytes,baseline_xz9_seconds,baseline_zstd19_bytes,baseline_zstd19_seconds,baseline_brotli11_bytes,baseline_brotli11_seconds
phase2_blind_gf2_n8192_k24_p24_s101,phase2,gf2_n8192_k24_p24_s101,5c1eae058a59cd6525d1ae7fc629ecf8e46c5ea40a092d29426d5a10894409db,49152,GF2,24,24,196608,24688,196608,624,208,0,32,True,0.5057521999988239,0.24620839999988675,0.5057521999988239,49156,24468,24464,raw_gap+24468 comp_gap+24464,UNCOMMITTED,2026-08-29T08:50:30.369446+00:00,101,49185,0.0035136000078637153,49173,0.0020616000110749155,49707,0.013694799999939278,49212,0.07633029998396523,49162,0.07376549998298287,49156,0.09395579999545589
phase2_null_iid_bits,phase2,noise_bits_n4096_c128_s202,907f057dda9208cee3089a075213f5497206d99fafae8e299e6c7eae3667bf78,65536,PASSTHROUGH,0,524288,0,65554,524288,0,112,0,32,True,17.324128999985987,0.2233299000072293,17.324128999985987,65540,-14,-19,raw_gap-14 comp_gap-19,UNCOMMITTED,2026-08-29T08:50:51.232351+00:00,202,65574,0.018973900005221367,65562,0.05128889999468811,66182,0.03520189999835566,65600,0.23867829999653623,65546,0.21384390001185238,65540,0.32935519999591634
phase2_adversarial_near_relation,phase2,near_gf2_n8192_k32_flips3_s303,5c9122213a304a05e20101388621002f1f7edd8f71f224e0afb922b9f636a487,33792,PASSTHROUGH,0,270336,0,33810,270336,0,112,0,32,True,1.986115100007737,0.141677300009178,1.986115100007737,33796,-14,-18,raw_gap-14 comp_gap-18,UNCOMMITTED,2026-08-29T08:50:55.780204+00:00,303,33825,0.004183000011835247,33813,0.002075099997455254,34290,0.05324909999035299,33852,0.20307299998239614,33802,0.1279581000271719,33796,0.1581198000058066
phase2_fd_product_n2048_s404,phase2,fd_product_n2048_s404,ccb9166dc08c2e9c2a5f98cb2490f63adbfb34322af1275aea936d41f85153ea,49152,PASSTHROUGH,0,393216,0,49170,393216,0,112,0,32,True,0.41861449999851175,0.13909429998602718,0.41861449999851175,18548,-30622,168,raw_gap-30622 comp_gap+168,UNCOMMITTED,2026-08-29T08:51:00.719972+00:00,404,21944,0.5731369999994058,21932,0.541954899992561,19588,0.022556499985512346,18548,0.49459630000637844,20651,0.29494350001914427,19683,0.6501989999960642
phase2_corpus_builtin_c,phase2,builtin_c,fda48854a87b8dc90f13c6f09138a750d0f600ef4dae9ff528eaf413ad3b0013,314,GF2,1,7,314,311,2198,15,208,3,32,True,0.10461209999630228,0.004885400005150586,0.10461209999630228,192,-119,-123,raw_gap-119 comp_gap-123,UNCOMMITTED,2026-08-29T08:51:02.548370+00:00,,229,0.00021970001398585737,217,3.919997834600508e-05,260,0.0005901000113226473,288,0.1310859000077471,218,0.005737599974963814,192,0.012667099974351004
phase2_corpus_builtin_json,phase2,builtin_json,dc3153cf1d362666105809eb261296f9b28010d36b3cbebb1f4f8c48aec0ad59,237,GF2,1,7,237,244,1659,15,208,6,32,True,0.12877269997261465,0.002235899999504909,0.12877269997261465,92,-152,-98,raw_gap-152 comp_gap-98,UNCOMMITTED,2026-08-29T08:51:03.972903+00:00,,106,0.0004393999988678843,94,0.00011439999798312783,115,0.0002826999989338219,148,0.17258509999373928,101,0.002744400000665337,92,0.004439600015757605
phase2_corpus_builtin_csv,phase2,builtin_csv,67a1decda2eb5e719c3fbcfb5f9e26d4956a8e4657eda91e80bd4f57aede58df,34,PASSTHROUGH,0,272,0,52,272,0,112,0,32,True,0.0252154000045266,0.00020280000171624124,0.0252154000045266,37,-15,-18,raw_gap-15 comp_gap-18,UNCOMMITTED,2026-08-29T08:51:05.780785+00:00,,54,0.00026279999292455614,42,2.750000567175448e-05,64,0.00013180001405999064,92,0.11868919999687932,43,7.829998503439128e-05,37,0.0021665999956894666
phase2_corpus_builtin_log,phase2,builtin_log,660b46a24a37fabcbbdb76611626a9119d133744e7b14748b6d25c21d3c66a7a,170,GF2,1,7,170,185,1190,15,208,3,32,True,0.06216639999183826,0.0019079000048805028,0.06216639999183826,98,-87,-78,raw_gap-87 comp_gap-78,UNCOMMITTED,2026-08-29T08:51:06.496934+00:00,,120,0.0006568999961018562,108,0.0001246000174432993,146,0.0002505000156816095,168,0.0965180000057444,112,0.0005816000048071146,98,0.003688600001623854
phase2_corpus_builtin_sqlite,phase2,builtin_sqlite,0cad8caab48e2d40c3a255df6b5eef5ee32eec0caea30527c589f38d285060f1,8192,GF2,41,23,41984,3104,23552,1007,208,1,32,True,2.4103314999956638,0.23229539999738336,2.4103314999956638,145,-2959,-99,raw_gap-2959 comp_gap-99,UNCOMMITTED,2026-08-29T08:51:10.385442+00:00,,191,0.0009142000053543597,179,0.000222100003156811,201,0.0015641000063624233,236,0.20421969998278655,161,0.0009206999966409057,145,0.014772800001082942
