experiment_id,phase,dataset_id,dataset_sha256,dataset_bytes,codec_kind,n_relations,n_independent,recovered_bits,total_encoded_bytes,payload_bits,relation_description_bits,header_bits,framing_bits,crc_bits,roundtrip_ok,encode_seconds,decode_seconds,discovery_seconds,best_baseline_bytes,deduction_gap_bytes,composition_gap_bytes,verdict,git_commit,utc_timestamp,seed,baseline_gzip9_bytes,baseline_gzip9_seconds,baseline_zlib9_bytes,baseline_zlib9_seconds,baseline_bz2_9_bytes,baseline_bz2_9_seconds,baseline_xz9_bytes,baseline_xz9_seconds,baseline_zstd19_bytes,baseline_zstd19_seconds,baseline_brotli11_bytes,baseline_brotli11_seconds
phase4_formats_png_48x48_s801,phase4,png_48x48_s801,bb418717e87ace0a49a3c2c96d84e7b040dfe6d7b20fc89a607e9b30a85a6773,7028,PASSTHROUGH,0,56224,0,7046,56224,0,112,0,32,True,1.892495100008091,0.010865499993087724,1.892495100008091,7032,-14,-18,raw_gap-14 no_deduction header_perturbation-18,aea7e6c079bc54aa2fa4dd95815dd107e0bc050d-dirty,2026-08-29T09:59:29.070481+00:00,801,7051,0.0017146999889519066,7039,0.0002120999852195382,7513,0.0034457999863661826,7088,0.19176680000964552,7038,0.0034408999781589955,7032,0.21111179998843
phase4_formats_zip_stored_s803,phase4,zip_stored_8kib_rand_plus_text_s803,93be366236efeb8cbf48f2468eb08214bb3fb5d3885c9c18eadb0f761a5252c9,8431,PASSTHROUGH,0,67448,0,8449,67448,0,112,0,32,True,3.1503523999999743,0.01614079999853857,3.1503523999999743,8347,-102,-13,raw_gap-102 no_deduction header_perturbation-13,aea7e6c079bc54aa2fa4dd95815dd107e0bc050d-dirty,2026-08-29T09:59:53.223306+00:00,803,8401,0.0006604999944102019,8389,0.000363900006050244,8873,0.5076503999880515,8484,0.5151714000094216,8348,0.0016169000009540468,8347,0.5531150999886449
phase4_formats_sqlite_fd_n4000_s802,phase4,sqlite_fd_n4000_c_eq_a_plus_b_s802,24d7c556b7f228d92894020098d389d1b99d3ba98cb1f3575a6c2ef578ca162f,69632,PASSTHROUGH,0,557056,0,69650,557056,0,112,0,32,True,17.539331399981165,1.260419699974591,17.539331399981165,30796,-38854,-246,raw_gap-38854 no_deduction header_perturbation-246,aea7e6c079bc54aa2fa4dd95815dd107e0bc050d-dirty,2026-08-29T10:00:59.494443+00:00,802,41252,0.5057926000154112,41240,0.7699321000254713,40546,0.014978300023358315,31012,1.5060788999835495,37431,0.5391401999804657,30796,6.216804499999853
phase4_formats_png_48x48_s801,phase4,png_48x48_s801,bb418717e87ace0a49a3c2c96d84e7b040dfe6d7b20fc89a607e9b30a85a6773,7028,PASSTHROUGH,0,56224,0,7046,56224,0,112,0,32,True,2.4899575999879744,0.39455879997694865,2.4899575999879744,7032,-14,-18,raw_gap-14 no_deduction header_perturbation-18,aea7e6c079bc54aa2fa4dd95815dd107e0bc050d-dirty,2026-08-29T10:02:07.474711+00:00,801,7051,0.0005365000106394291,7039,0.0003882000164594501,7513,0.0034638000070117414,7088,0.39984909998020157,7038,0.004083899984834716,7032,0.2650285999989137
phase4_formats_zip_stored_s803,phase4,zip_stored_8kib_rand_plus_text_s803,6c2e23d996c461beae37f0b69c5fce0897438d93af7dd07c2259d246c137989f,8431,PASSTHROUGH,0,67448,0,8449,67448,0,112,0,32,True,4.056285200000275,0.019986300001619384,4.056285200000275,8347,-102,-13,raw_gap-102 no_deduction header_perturbation-13,aea7e6c079bc54aa2fa4dd95815dd107e0bc050d-dirty,2026-08-29T10:02:49.898807+00:00,803,8401,0.0008952999778557569,8389,0.0004710000066552311,8859,0.003962200018577278,8484,1.4503630000108387,8348,0.0016720000130590051,8347,0.47975170001154765
phase4_formats_sqlite_fd_n4000_s802,phase4,sqlite_fd_n4000_c_eq_a_plus_b_s802,24d7c556b7f228d92894020098d389d1b99d3ba98cb1f3575a6c2ef578ca162f,69632,PASSTHROUGH,0,557056,0,69650,557056,0,112,0,32,True,19.075229399983073,1.1369917999836616,19.075229399983073,30796,-38854,-246,raw_gap-38854 no_deduction header_perturbation-246,aea7e6c079bc54aa2fa4dd95815dd107e0bc050d-dirty,2026-08-29T10:04:05.921844+00:00,802,41252,1.0167574000079185,41240,0.4430584999790881,40546,0.46806569999898784,31012,1.522025299986126,37431,0.8542021999892313,30796,9.262194300012197
phase4_formats_zip_stored_s803,phase4,zip_stored_8kib_rand_plus_text_s803,17a5a7760809830d3a17587d001e95313d7508f7c632bda29b217d8d7e00b0cd,8431,PASSTHROUGH,0,67448,0,8449,67448,0,112,0,32,True,0.9896491999970749,0.010185399994952604,0.9896491999970749,8343,-106,-15,raw_gap-106 no_deduction header_perturbation-15,aea7e6c079bc54aa2fa4dd95815dd107e0bc050d-dirty,2026-08-29T10:45:48.571212+00:00,803,8401,0.0012584999785758555,8389,0.0003856999974232167,8854,0.003785200009588152,8484,0.14912129999720491,8347,0.0030061000143177807,8343,0.030508800002280623
