experiment_id,phase,dataset_id,dataset_sha256,dataset_bytes,codec_kind,n_relations,n_independent,recovered_bits,total_encoded_bytes,payload_bits,relation_description_bits,header_bits,framing_bits,crc_bits,roundtrip_ok,encode_seconds,decode_seconds,discovery_seconds,best_baseline_bytes,deduction_gap_bytes,composition_gap_bytes,verdict,git_commit,utc_timestamp,seed,baseline_gzip9_bytes,baseline_gzip9_seconds,baseline_zlib9_bytes,baseline_zlib9_seconds,baseline_bz2_9_bytes,baseline_bz2_9_seconds,baseline_xz9_bytes,baseline_xz9_seconds,baseline_zstd19_bytes,baseline_zstd19_seconds,baseline_brotli11_bytes,baseline_brotli11_seconds
phase3_repo_source_md,phase3,repo_src_tests_docs_experiments,6d75c5a7a911d13260cbd6ef22e3a693cde9a16fd30f29d21bf2b6cacbb106b0,116597,GF2,2,126,14574,114857,918162,380,208,2,32,True,16.45947630002047,0.9868442000006326,16.45947630002047,26135,-88722,-43830,raw_gap-88722 comp_gap-43830,UNCOMMITTED,2026-08-29T08:53:43.841762+00:00,,30435,0.02991830001701601,30423,0.021964500017929822,26959,0.026878199976636097,27444,0.1741133999894373,27983,0.3584617000014987,26135,0.49658480001380667
phase3_fd_affine_32k_labeled_prior_art,phase3,fd_affine_n32768_s501,bccec2f031a0794a41def665582cb5ae8cf96fb59b15e4173d81bf56b51e47eb,786432,TABULAR_AFFINE,1,2,2097152,524332,4194304,105,208,7,32,True,6.7171675999998115,1.9048066000104882,6.7171675999998115,429788,-94544,149936,raw_gap-94544 comp_gap+149936,UNCOMMITTED,2026-08-29T08:54:30.059896+00:00,501,500928,2.636034399998607,500916,7.718381499988027,475608,0.6414065000135452,429788,2.4241145999985747,438756,2.052136900019832,481718,7.429160899977433
phase3_repo_source_md,phase3,repo_src_tests_docs_experiments,6d75c5a7a911d13260cbd6ef22e3a693cde9a16fd30f29d21bf2b6cacbb106b0,116597,GF2,2,126,14574,114857,918162,380,208,2,32,True,23.900667799985968,2.2576811999897473,23.900667799985968,26135,-88722,-43830,raw_gap-88722 comp_gap-43830,UNCOMMITTED,2026-08-29T08:55:43.592590+00:00,,30435,0.02942299999995157,30423,0.04361420002533123,26959,0.033301399991614744,27444,0.31679630000144243,27983,0.340010899992194,26135,0.6814497000013944
phase3_fd_affine_32k_labeled_prior_art,phase3,fd_affine_n32768_s501,bccec2f031a0794a41def665582cb5ae8cf96fb59b15e4173d81bf56b51e47eb,786432,TABULAR_AFFINE,1,2,2097152,524332,4194304,105,208,7,32,True,5.272710500023095,1.68159769999329,5.272710500023095,429788,-94544,149936,raw_gap-94544 comp_gap+149936,UNCOMMITTED,2026-08-29T08:56:25.971653+00:00,501,500928,3.9006117999961134,500916,4.018389999982901,475608,0.5817339000059292,429788,1.927570600004401,438756,1.7158593999920413,481718,6.908783699997002
phase3_crc32_records_homogeneous,phase3,crc32_n4096_p4_s777,de72357e2f35c2a6da28156eecb043bd8b2a1fc14b3d6207217464e6f9c6803e,32768,GF2,31,33,126976,17066,135168,1087,208,1,32,True,1.0822833999991417,0.5820807999989484,1.0822833999991417,32772,15706,15702,raw_gap+15706 comp_gap+15702,UNCOMMITTED,2026-08-29T08:59:07.959000+00:00,777,32796,0.005322599987266585,32784,0.006978699995670468,33266,0.02068919999874197,32828,0.2795841000042856,32778,0.032757699984358624,32772,0.13984779999009334
phase3_crc32_records_homogeneous,phase3,crc32_n4096_p4_s777,de72357e2f35c2a6da28156eecb043bd8b2a1fc14b3d6207217464e6f9c6803e,32768,GF2,31,33,126976,17066,135168,1087,208,1,32,True,1.0822833999991417,0.5820807999989484,1.0822833999991417,32772,15706,15702,raw_gap+15706 comp_gap+15702,UNCOMMITTED,2026-08-29T08:59:07.959000+00:00,777,32796,0.005322599987266585,32784,0.006978699995670468,33266,0.02068919999874197,32828,0.2795841000042856,32778,0.032757699984358624,32772,0.13984779999009334
phase3_crc32_records_homogeneous,phase3,crc32_n4096_p4_s777,de72357e2f35c2a6da28156eecb043bd8b2a1fc14b3d6207217464e6f9c6803e,32768,GF2,31,33,126976,17067,135168,1087,216,1,32,True,0.1953421999933198,0.09872169999289326,0.1953421999933198,32772,15705,15701,raw_gap+15705 comp_gap+15701,e4b3962d6e23df0db267f990f753bc00dca536fa-dirty,2026-08-29T09:43:03.620081+00:00,777,32796,0.0018016000103671104,32784,0.0006633000157307833,33266,0.006845199997769669,32828,0.036264299997128546,32778,0.010237400012556463,32772,0.025568299985025078
phase3_crc32_records_affine,phase3,crc32_n4096_p4_s777,de72357e2f35c2a6da28156eecb043bd8b2a1fc14b3d6207217464e6f9c6803e,32768,GF2,32,32,131072,16559,131072,1120,216,0,32,True,0.31909580001956783,0.12452450001728721,0.31909580001956783,32772,16213,16209,raw_gap+16213 comp_gap+16209,e4b3962d6e23df0db267f990f753bc00dca536fa-dirty,2026-08-29T09:43:04.824882+00:00,777,32796,0.0013407999940682203,32784,0.000912499992409721,33266,0.00600940000731498,32828,0.030281799990916625,32778,0.0036165000055916607,32772,0.019128099986119196
phase3_crc32_records_homogeneous,phase3,crc32_n4096_p4_s777,de72357e2f35c2a6da28156eecb043bd8b2a1fc14b3d6207217464e6f9c6803e,32768,GF2,31,33,126976,17067,135168,1087,216,1,32,True,0.1860434999980498,0.09766729999682866,0.1860434999980498,32772,15705,15701,raw_gap+15705 comp_gap+15701,e4b3962d6e23df0db267f990f753bc00dca536fa-dirty,2026-08-29T09:43:18.295012+00:00,777,32796,0.0021118999866303056,32784,0.0007830999966245145,33266,0.0050731000083032995,32828,0.030672699998831376,32778,0.0035985999857075512,32772,0.018029300001217052
phase3_crc32_records_affine,phase3,crc32_n4096_p4_s777,de72357e2f35c2a6da28156eecb043bd8b2a1fc14b3d6207217464e6f9c6803e,32768,GF2,32,32,131072,16559,131072,1120,216,0,32,True,0.3229921000020113,0.09334059999673627,0.3229921000020113,32772,16213,16209,raw_gap+16213 comp_gap+16209,e4b3962d6e23df0db267f990f753bc00dca536fa-dirty,2026-08-29T09:43:19.279693+00:00,777,32796,0.001139599975431338,32784,0.0007759000000078231,33266,0.005998400010867044,32828,0.027069300005678087,32778,0.007618600007845089,32772,0.01661190000595525
