experiment_id,phase,dataset_id,dataset_sha256,dataset_bytes,codec_kind,n_relations,n_independent,recovered_bits,total_encoded_bytes,payload_bits,relation_description_bits,header_bits,framing_bits,crc_bits,roundtrip_ok,encode_seconds,decode_seconds,discovery_seconds,best_baseline_bytes,deduction_gap_bytes,raw_gap_bytes,composition_gap_bytes,composition_gap_pct,composition_gap_matched_bytes,composition_gap_matched_pct,codec_sets_match,composed_roundtrip_ok,verdict,git_commit,utc_timestamp,seed,baseline_gzip9_bytes,baseline_gzip9_seconds,baseline_zlib9_bytes,baseline_zlib9_seconds,baseline_bz2_9_bytes,baseline_bz2_9_seconds,baseline_xz9_bytes,baseline_xz9_seconds,baseline_zstd19_bytes,baseline_zstd19_seconds,baseline_brotli11_bytes,baseline_brotli11_seconds
off_silesia_x-ray_slice,offset,silesia_x-ray@slice262144,51c0a846c6cbe121f3f734d32100d60fd8bdd5b79ea9506d72608665e5fef7b1,262144,GF2,58,198,475136,204255,1622016,11740,216,4,32,True,43.14627110000583,0.13966730001266114,43.14627110000583,129632,-74623,-74623,-57729,-0.4453298568254752,-57729,-0.4453298568254752,True,True,raw_gap-74623 comp_gap-57729,299a7f1922aa18d0e4204c576c2eb791c4cf3a4a,2026-08-29T16:57:25.677696+00:00,,182634,0.012911400001030415,182622,0.013235799997346476,129632,0.021112400019774213,137292,0.08351349999429658,165393,0.07458610000321642,141029,0.9218473999935668
off_silesia_xml_slice,offset,silesia_xml@slice262144,f2bbde07c2061c09fa41e4d4998c07847fbcc23d4ab166ca105a7f66ac8cd37b,262144,GF2,1,7,262144,229413,1835008,15,216,1,32,True,42.36085019999882,0.009410099999513477,42.36085019999882,11559,-217854,-217854,-17365,-1.502292585863829,-17365,-1.502292585863829,True,True,raw_gap-217854 comp_gap-17365,299a7f1922aa18d0e4204c576c2eb791c4cf3a4a,2026-08-29T16:58:10.162598+00:00,,16115,0.01296250001178123,16103,0.012072300014551729,11559,0.024406699987594038,13060,0.05988200000138022,12994,0.15357210001093335,11799,0.39475279999896884
off_enwik8_slice,offset,enwik8@slice262144,0cdfd008d5327addbf5b118b4a8d616a8cc2971627727b10bfb20e97920881e7,262144,PASSTHROUGH,0,2097152,0,262162,2097152,0,112,0,32,True,32.98826939999708,0.16300289999344386,32.98826939999708,73306,-188856,-188856,-39,-0.0005320164788693968,-39,-0.0005320164788693968,True,True,raw_gap-188856 no_deduction header_perturbation-39,299a7f1922aa18d0e4204c576c2eb791c4cf3a4a,2026-08-29T16:58:46.682014+00:00,,90519,0.0157527000119444,90507,0.016093800019007176,75951,0.021685099985916167,79120,0.09415440002339892,81801,0.09424830001080409,73306,0.5248686999839265
off_sdrbench_exaalt_vx_slice,offset,sdrbench_exaalt2869440_vx.f32@slice262144,4a7274ecf55ef46c2c9315898e87ecaa1604ba2478338046366856ad6cd872a2,262144,GF2,3,29,196608,237619,1900544,122,216,6,32,True,39.56535079999594,0.019419000018388033,39.56535079999594,226805,-10814,-10814,-10819,-0.04770177024316043,-10819,-0.04770177024316043,True,True,raw_gap-10814 comp_gap-10819,299a7f1922aa18d0e4204c576c2eb791c4cf3a4a,2026-08-29T16:59:28.881209+00:00,,241886,0.016058500012150034,241874,0.015346700005466118,226805,0.02963080001063645,231732,0.08812010000110604,237689,0.0438441000005696,238394,0.5969033000001218
off_sdrbench_exaalt_vy_slice,offset,sdrbench_exaalt2869440_vy.f32@slice262144,048529c77afa1110a4c2171c4fbc89a45ea4547547d1468597081a75d08e73e7,262144,GF2,3,29,196608,237619,1900544,122,216,6,32,True,39.57231980000506,0.018480400001863018,39.57231980000506,226808,-10811,-10811,-10816,-0.04768791224295439,-10816,-0.04768791224295439,True,True,raw_gap-10811 comp_gap-10816,299a7f1922aa18d0e4204c576c2eb791c4cf3a4a,2026-08-29T17:00:11.094379+00:00,,241902,0.015671900007873774,241890,0.015440199989825487,226808,0.02964530000463128,232408,0.07743530001607724,237721,0.03887579997535795,238467,0.7953754999907687
off_sdrbench_exaalt_vz_slice,offset,sdrbench_exaalt2869440_vz.f32@slice262144,97aa02f7015b4d0f17a376152e51208e1d45021d67341c1bc33e016a0f93d472,262144,GF2,3,29,196608,237619,1900544,122,216,6,32,True,39.910619100002805,0.01734079999732785,39.910619100002805,226655,-10964,-10964,-10969,-0.04839513798504335,-10969,-0.04839513798504335,True,True,raw_gap-10964 comp_gap-10969,299a7f1922aa18d0e4204c576c2eb791c4cf3a4a,2026-08-29T17:00:53.701021+00:00,,242037,0.018458999984432012,242025,0.021255700004985556,226655,0.03187859998433851,232256,0.0868186000152491,237691,0.03863540000747889,238531,0.6218073999916669
off_sdrbench_exaalt_xx_slice,offset,sdrbench_exaalt2869440_xx.f32@slice262144,e606d0bd9463c442aebf3d6ba72ef2290e92d564c0b7cedc0512135244dabd83,262144,GF2,3,29,196608,237619,1900544,122,216,6,32,True,45.68161339999642,0.01745200000004843,45.68161339999642,224585,-13034,-13034,-11576,-0.05154395885744818,-11576,-0.05154395885744818,True,True,raw_gap-13034 comp_gap-11576,299a7f1922aa18d0e4204c576c2eb791c4cf3a4a,2026-08-29T17:01:42.846415+00:00,,242461,0.014597900008084252,242449,0.01476270001148805,224585,0.03029559997958131,227868,0.08316460001515225,237132,0.038821900001494214,234663,0.5742252999916673
off_sdrbench_exaalt_yy_slice,offset,sdrbench_exaalt2869440_yy.f32@slice262144,faa41a228bd98532d74417ab24464a9dd7009ecdbc2d7c6c35e22d75f22b77b6,262144,GF2,29,227,237568,233342,1859584,6868,216,4,32,True,39.74409170000581,0.08991820001392625,39.74409170000581,187128,-46214,-46214,-44290,-0.23668291223120003,-44290,-0.23668291223120003,True,True,raw_gap-46214 comp_gap-44290,299a7f1922aa18d0e4204c576c2eb791c4cf3a4a,2026-08-29T17:02:25.871774+00:00,,220881,0.015056899981573224,220869,0.01478629998746328,187128,0.02921999999671243,187944,0.09182089997921139,205318,0.0709614000224974,217730,0.7427297999965958
off_sdrbench_exaalt_zz_slice,offset,sdrbench_exaalt2869440_zz.f32@slice262144,145a27d495fb529df112cd9422333cb07aec58147a4a7752251e439d269b1a1c,262144,GF2,3,29,196608,237619,1900544,122,216,6,32,True,39.72478720001527,0.02601700002560392,39.72478720001527,215238,-22381,-22381,-22336,-0.10377349724491028,-22336,-0.10377349724491028,True,True,raw_gap-22381 comp_gap-22336,299a7f1922aa18d0e4204c576c2eb791c4cf3a4a,2026-08-29T17:03:08.178309+00:00,,236531,0.016500000027008355,236519,0.01670680000097491,215238,0.03040280001005158,216120,0.0797141999937594,227716,0.04755320001277141,229816,0.767926600005012
off_uci_household_power_text_slice,offset,uci_household_power_text@slice262144,9f1454454bcc7ef097b21c8a931794c89eda2df9b66a8424b176466e11535fc4,262144,GF2,60,196,491520,202241,1605632,12016,216,0,32,True,40.43653129998711,0.14383489999454468,40.43653129998711,28160,-174081,-174081,-29828,-1.0592329545454546,-29828,-1.0592329545454546,True,True,raw_gap-174081 comp_gap-29828,299a7f1922aa18d0e4204c576c2eb791c4cf3a4a,2026-08-29T17:03:52.173768+00:00,,42249,0.05851329999859445,42237,0.058767000009538606,28521,0.017307599977357313,28160,0.12629960000049323,32706,0.22012109999195673,29390,0.5065401000028942
